koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_slogg,ra,dec
0,0,1,1,1,19.97867,137.17061,10.168,9.44E+02,6.85,1351,788.02,86.2,1,q1_q17_dr25_tce,4.229,299.15353,40.286961
0,0,1,1,0,15.45158184,142.21096,2.406,8.53E+01,2.02,1285,643.83,21,1,q1_q17_dr25_tce,4.08,297.98123,41.44487
0,0,1,0,0,89.69816853,176.3060152,5.5418,2.73E+05,102.08,554,22.33,3420.3,1,q1_q17_dr25_tce,4.021,299.0209,44.17276
0.557,0,1,0,0,1.187352427,133.465454,4.999,2.07E+04,67.35,2251,6067.3,717.4,1,q1_q17_dr25_tce,4.186,285.06335,44.167885
0,0,1,1,1,3.012476582,135.259271,3.1424,1.14E+03,65.25,2371,7471.65,253.4,1,q1_q17_dr25_tce,4.137,294.1434,39.089779
0,0,1,0,0,7.814839231,357.519981,3.0122,2.01E+03,5.33,903,156.74,100,1,q1_q17_dr25_tce,4.499,294.02725,41.675968
0,0,1,1,1,29.7452499,157.38519,22.695,7.79E+02,3.6,557,22.74,55.9,1,q1_q17_dr25_tce,4.372,297.75311,41.675991
0,0,1,0,0,0.741057213,131.947273,1.05299,2.00E+03,26.67,1730,2128.29,251.9,1,q1_q17_dr25_tce,4.592,291.07126,38.999039
0,0,0,1,0,2.988085455,133.27252,3.68,8.03E+02,21.81,1101,348.05,48.2,1,q1_q17_dr25_tce,4.577,294.07071,38.981331
0,0,1,1,0,2.783883492,133.227846,2.4546,9.04E+02,67.17,1934,3304.55,86.1,1,q1_q17_dr25_tce,3.835,295.94055,38.876389
0,1,0,0,1,0.393727296,178.587454,3.02,9.04E+02,23.05,2216,5746.51,82.4,1,q1_q17_dr25_tce,4.575,294.61893,38.611889
0,0,1,1,1,25.9518461,154.88212,14.581,1.06E+03,22.32,521,17.37,65.8,1,q1_q17_dr25_tce,4.584,293.71075,38.983608
0,0,1,1,1,25.9518536,154.88278,14.755,2.02E+03,24.6,494,14.09,79.4,1,q1_q17_dr25_tce,4.604,293.67657,38.991379
,0,0,0,0,5.68628739,135.89269,17.573,5.56E+03,4.5,1059,297.81,414.4,,,4.442,290.77863,37.564079
0,0,1,0,0,15.66388695,147.395712,2.4775,5.14E+03,27.36,1060,298.77,175.9,1,q1_q17_dr25_tce,3.901,289.87347,43.203838
0.008,0,1,0,0,4.020628573,133.638478,4.4085,2.09E+04,16.94,1232,543.92,282.6,1,q1_q17_dr25_tce,4.45,295.03925,44.191059
0,0,1,0,0,185.0228822,273.185533,4.87326,4.35E+04,49.82,379,4.89,938.2,1,q1_q17_dr25_tce,4.237,296.30942,44.165741
0,0,1,1,1,2.897432135,450.75739,3.1793,1.22E+03,14.35,2170,5240,73.9,1,q1_q17_dr25_tce,3.619,300.867,44.14529
0,0,1,0,0,2.757794163,135.232863,2.7644,3.90E+04,20.05,1231,542.43,349.2,1,q1_q17_dr25_tce,4.514,282.60336,44.28698
0,0,0,1,1,1.914158508,134.644919,3.2917,7.83E+03,13.63,1646,1730.47,124.6,1,q1_q17_dr25_tce,4.407,301.01672,44.233841
0,0,0,1,1,3.98216698,135.52749,2.396,3.81E+02,3.32,1374,842.48,27.1,1,q1_q17_dr25_tce,4.066,292.92276,38.47728
0,0,1,1,0,0.643794198,133.984483,1.5662,4.57E+02,19.51,2011,3852.91,53.7,1,q1_q17_dr25_tce,4.561,292.35287,38.942471
0,0,1,0,0,161.7883271,214.039,5.31,8.78E+04,36.14,375,4.68,704.5,1,q1_q17_dr25_tce,4.327,291.38269,37.07299
0,0,0,1,0,0.856895349,133.67521,1.3078,8.22E+01,0.82,1881,2960.82,33.1,1,q1_q17_dr25_tce,4.537,291.07446,37.744389
0,0,1,1,1,5.251916208,357.321883,4.9095,1.06E+04,37.15,952,194.17,146.3,1,q1_q17_dr25_tce,4.52,294.99734,44.321388
0,1,0,1,1,100.3039228,277.0607,8.702,5.45E+03,29.55,313,2.26,63.2,1,q1_q17_dr25_tce,4.566,284.51962,44.453941
0,1,0,1,1,200.6110335,456.84444,7.13,,,,,,2,q1_q17_dr25_tce,,284.51962,44.453941
0,1,0,1,0,0.986620248,448.5959,3.9722,1.35E+03,43.98,2308,6719.67,117.7,1,q1_q17_dr25_tce,4.176,301.40067,44.318039
0,1,0,1,1,1.63484631,134.512115,6.11,,,,17098.4,,1,q1_q17_dr25_tce,,298.21188,44.324638
0.046,0,1,0,0,8.360616221,172.264978,7.5385,2.81E+04,40.35,1263,601.6,425.6,1,q1_q17_dr25_tce,3.79,290.32791,37.726742
0,0,1,1,1,1.838514968,352.72266,2.7391,2.72E+03,4.86,1426,974.1,63.7,1,q1_q17_dr25_tce,4.508,292.89935,37.656059
0,0,0,1,1,1.09206833,133.19403,1.8596,2.19E+02,1.29,1611,1588.89,45.5,1,q1_q17_dr25_tce,4.551,295.51108,44.109261
